status	path	put	prev	live	verify	h1	err	len
OK	/blogs/news/the-importance-of-professional-development	201	200	200	200	true	false	4945
OK	/blogs/news/end-of-year-checklist-for-k-12-teachers	201	200	200	200	true	false	2237
OK	/blogs/news/the-first-10-minutes-routines-that-make-or-break-your-day	201	200	200	200	true	false	4699
